id,types
1, Account Management
2, Accounting
3, Ad Planning & Buying
4, Advertising
5, Affiliate Marketing
6, Algorithm
7, Analytics Sales
8, ATS Sales
9, Attorney
10, Audit
11, Augmented Reality
12, Autotask
13, BPO
14, Brand Management
15, Brand Marketing
16, Branding
17, Bulk Marketing
18, Business Analysis
19, Business Plans
20, Buyer Sourcing
21, Call Center
22, Channel Account Management
23, Channel Sales
24, Classifieds Posting
25, Clean Technology
26, Compliance
27, Content Marketing
28, Contracts
29, Conversion Rate Optimisation
30, CRM
31, Customer Retention
32, Customer Service
33, Customer Support
34, Data Analytics
35, Data Mining
36, Data Science
37, Datacenter Sales
38, Digital Agency Sales
39, Drones
40, Econometrics
41, Economics
42, Electrical Engineering
43, Email Marketing
44, Emerging Accounts
45, Employment Law
46, Engineering
47, Enterprise Sales
48, Enterprise Sales Management
49, Entrepreneurship
50, ERP
51, Event Planning
52, Facebook Marketing
53, Field Sales
54, Field Sales Management
55, Finance
56, Financial Analysis
57, Financial Sales
58, Fundraising
59, Google Adsense
60, Google Adwords
61, Healthcare Sales
62, HR Sales
63, Human Resources
64, Industrial Engineering
65, Instrumentation
66, Internet Marketing
67, Internet of Things
68, Internet Research
69, Inventory Management
70, Investment Research
71, ISO9001
72, Legal
73, Legal Research
74, Legal Writing
75, Linear Programming
76, Logistics & Shipping
77, Machine Learning
78, Management
79, Manufacturing
80, Manufacturing Design
81, Market Research
82, Marketing
83, Marketing Strategy
84, Materials Engineering
85, Media Sales
86, Medical Devices Sales
87, Network Sales
88, OEM Account Management
89, OEM Sales
90, Order Processing
91, Organizational Change Management
92, Patents
93, Personal Development
94, Procurement
95, Product Design
96, Product Management
97, Product Sourcing
98, Project Management
99, Project Scheduling
100, Property Development
101, Property Law
102, Property Management
103, Public Relations
104, Qualitative Research
105, Rapid Prototyping
106, Recruiting Sales
107, Recruitment
108, Resellers
109, Retail Sales
110, Risk Management
111, Robotics
112, Sales
113, Sales Account Management
114, Sales Management
115, Sales Promotion
116, Scientific Research
117, Search Engine Marketing
118, Security Sales
119, Social Media Marketing
120, Social Sales
121, Software Sales
122, Statistical Analysis
123, Statistics
124, Supplier Sourcing
125, Tax
126, Tax Law
127, Technology Sales
128, Time Management
129, Twitter Marketing
130, Viral Marketing
131, Visual Merchandising
132,Artificial Intelligence
133,Cognitive Technologies
134,Compliances & Outsourcing
135,Cyber security consultant
136,Eccomerce Marketing
137,Financial consultant
138,Financial Modelling
139,HR consultant 
140,Import & Export Regulations
141,IT consultant
142,Marketing consultant
143,MCA documentation
144,Mobile App Development
145,New venture registration
146,Operations consultant
147,Qualitative research
148,Quantitative research
149,SEO Consultant
150,Technology consultant
151,Transaction advisory
152,Website Development
